s,age,PFT,relative_mean
Control,96,Temperate broadleaf,0.012859777571644323
Control,96,Conifers (other),0.23160197156899795
Control,96,Pioneering broadleaf,0.26979028609130173
Control,96,Needleleaf evergreen,0.41930937440153954
Control,97,Non-tree V.,0.06647840526006811
Control,97,Temperate broadleaf,0.012525291209026863
Control,97,Conifers (other),0.2306195573028498
Control,97,Pioneering broadleaf,0.27025935658797784
Control,97,Needleleaf evergreen,0.42002980095653436
Control,98,Non-tree V.,0.0656187658935869
Control,98,Temperate broadleaf,0.012221813902203803
Control,98,Conifers (other),0.2300818599588563
Control,98,Pioneering broadleaf,0.2706088333856373
Control,98,Needleleaf evergreen,0.4212059608090859
Control,99,Non-tree V.,0.06470560448927577
Control,99,Temperate broadleaf,0.012138585821299818
Control,99,Conifers (other),0.2295740376346527
Control,99,Pioneering broadleaf,0.27089441154617006
Control,99,Needleleaf evergreen,0.4224245944579727
Control,100,Non-tree V.,0.06399758426856751
Control,100,Temperate broadleaf,0.012071824516994864
Control,100,Conifers (other),0.22910119522327643
Control,100,Pioneering broadleaf,0.2710662760257093
Control,100,Needleleaf evergreen,0.42350035391482643
Control,101,Non-tree V.,0.06292013287348013
Control,101,Temperate broadleaf,0.012100656036462612
Control,101,Conifers (other),0.2281948239456257
Control,101,Pioneering broadleaf,0.27169701295056636
Control,101,Needleleaf evergreen,0.4248130257713657
Control,102,Non-tree V.,0.06345010867141357
Control,102,Temperate broadleaf,0.012236434373267113
Control,102,Conifers (other),0.2269037830799766
Control,102,Pioneering broadleaf,0.27262711316026705
Control,102,Needleleaf evergreen,0.42459111819569373
Control,103,Non-tree V.,0.06309814215353002
Control,103,Temperate broadleaf,0.012152757871116823
Control,103,Conifers (other),0.22601708267332288
Control,103,Pioneering broadleaf,0.273162655854519
Control,103,Needleleaf evergreen,0.4253682755838469
Control,104,Non-tree V.,0.06209297753212257
Control,104,Temperate broadleaf,0.012349796403693783
Control,104,Conifers (other),0.22513792041844988
Control,104,Pioneering broadleaf,0.27382194160747625
Control,104,Needleleaf evergreen,0.4263848015980393
Control,105,Non-tree V.,0.06150022872596842
Control,105,Temperate broadleaf,0.012218694533896637
Control,105,Conifers (other),0.22449561215225478
Control,105,Pioneering broadleaf,0.27357188533750026
Control,105,Needleleaf evergreen,0.42787770822485166
Control,106,Non-tree V.,0.060450991565469486
Control,106,Temperate broadleaf,0.012166837318294288
Control,106,Conifers (other),0.2237854296223016
Control,106,Pioneering broadleaf,0.2741488468969498
Control,106,Needleleaf evergreen,0.4289718174724911
Control,107,Non-tree V.,0.06133967299032312
Control,107,Temperate broadleaf,0.01186714338479346
Control,107,Conifers (other),0.22249577464217093
Control,107,Pioneering broadleaf,0.27550960853487977
Control,107,Needleleaf evergreen,0.4285363546344061
Control,108,Non-tree V.,0.0608681291974558
Control,108,Temperate broadleaf,0.01177787132399715
Control,108,Conifers (other),0.2210820070058328
Control,108,Pioneering broadleaf,0.2761678006280506
Control,108,Needleleaf evergreen,0.4295696468760664
Control,109,Non-tree V.,0.059875912266059796
Control,109,Temperate broadleaf,0.010773858556427167
Control,109,Conifers (other),0.2202684632389819
Control,109,Pioneering broadleaf,0.27756062808501974
Control,109,Needleleaf evergreen,0.43095084985807497
Control,110,Non-tree V.,0.05884041103885138
Control,110,Temperate broadleaf,0.01011336593878979
Control,110,Conifers (other),0.22024933970362862
Control,110,Pioneering broadleaf,0.27699535695769895
Control,110,Needleleaf evergreen,0.4331928836343117
Control,111,Non-tree V.,0.058120228368687174
Control,111,Temperate broadleaf,0.00984034019131176
Control,111,Conifers (other),0.2193457337081549
Control,111,Pioneering broadleaf,0.2773285893989327
Control,111,Needleleaf evergreen,0.43520210914790863
Control,112,Non-tree V.,0.058875868378899104
Control,112,Temperate broadleaf,0.00969912341969662
Control,112,Conifers (other),0.21695218628568044
Control,112,Pioneering broadleaf,0.27990882559819985
Control,112,Needleleaf evergreen,0.43456399631752407
Control,113,Non-tree V.,0.057466138450203486
Control,113,Temperate broadleaf,0.009954260811881971
Control,113,Conifers (other),0.21902889435215306
Control,113,Pioneering broadleaf,0.2773940686241322
Control,113,Needleleaf evergreen,0.43615663776163055
Control,114,Non-tree V.,0.05631387616935266
Control,114,Temperate broadleaf,0.009699542773403352
Control,114,Conifers (other),0.21757494973535502
Control,114,Pioneering broadleaf,0.27717111513855575
Control,114,Needleleaf evergreen,0.4392405161833333
Control,115,Non-tree V.,0.0546639755497961
Control,115,Temperate broadleaf,0.010107015994121744
Control,115,Conifers (other),0.21643533708997043
Control,115,Pioneering broadleaf,0.27654878900663216
Control,115,Needleleaf evergreen,0.44224488235947845
Control,116,Non-tree V.,0.05486812781425798
Control,116,Temperate broadleaf,0.009571991828807469
Control,116,Conifers (other),0.2155665341052206
Control,116,Pioneering broadleaf,0.27750362145216095
Control,116,Needleleaf evergreen,0.44248972479955373
Control,117,Non-tree V.,0.055268010872243555
Control,117,Temperate broadleaf,0.010070178280504771
Control,117,Conifers (other),0.21371865417513597
Control,117,Pioneering broadleaf,0.27897165183401745
Control,117,Needleleaf evergreen,0.4419715048380995
Control,118,Non-tree V.,0.054852277216281976
Control,118,Temperate broadleaf,0.009954197865901059
