s,age,PFT,relative_mean
Control,89,Pioneering broadleaf,0.26023626538083705
Control,89,Needleleaf evergreen,0.39729077985255407
Control,90,Non-tree V.,0.09273455439199117
Control,90,Temperate broadleaf,0.013413324318796169
Control,90,Conifers (other),0.23507334440450312
Control,90,Pioneering broadleaf,0.2611525087071118
Control,90,Needleleaf evergreen,0.39762626817759544
Control,91,Non-tree V.,0.09233744675982135
Control,91,Temperate broadleaf,0.013533160461456492
Control,91,Conifers (other),0.23403391978484414
Control,91,Pioneering broadleaf,0.26206913378128965
Control,91,Needleleaf evergreen,0.3980263392125884
Control,92,Non-tree V.,0.09300701843062607
Control,92,Temperate broadleaf,0.013642410244110814
Control,92,Conifers (other),0.23257594997441694
Control,92,Pioneering broadleaf,0.2628795190826306
Control,92,Needleleaf evergreen,0.39789510226821834
Control,93,Non-tree V.,0.09255068202838235
Control,93,Temperate broadleaf,0.013759214955791847
Control,93,Conifers (other),0.23177603109028289
Control,93,Pioneering broadleaf,0.26366139967899116
Control,93,Needleleaf evergreen,0.3982526722465509
Control,94,Non-tree V.,0.09205273082649598
Control,94,Temperate broadleaf,0.013881838293405549
Control,94,Conifers (other),0.2309108972228133
Control,94,Pioneering broadleaf,0.26443086804854204
Control,94,Needleleaf evergreen,0.3987236656087442
Control,95,Non-tree V.,0.09174729166223478
Control,95,Temperate broadleaf,0.01399802264976951
Control,95,Conifers (other),0.22991283642342308
Control,95,Pioneering broadleaf,0.2651491166517011
Control,95,Needleleaf evergreen,0.39919273261287036
Control,96,Non-tree V.,0.09146881037359524
Control,96,Temperate broadleaf,0.014093493043364252
Control,96,Conifers (other),0.2291570182967045
Control,96,Pioneering broadleaf,0.2656811983685418
Control,96,Needleleaf evergreen,0.3995994799177928
Control,97,Non-tree V.,0.09205544400266648
Control,97,Temperate broadleaf,0.014201226740861946
Control,97,Conifers (other),0.2277928648398006
Control,97,Pioneering broadleaf,0.2662222697291381
Control,97,Needleleaf evergreen,0.3997281946875313
Control,98,Non-tree V.,0.0918477071936829
Control,98,Temperate broadleaf,0.014310038859880735
Control,98,Conifers (other),0.22703787014762936
Control,98,Pioneering broadleaf,0.2666358531901684
Control,98,Needleleaf evergreen,0.40016853060863894
Control,99,Non-tree V.,0.09183748807130478
Control,99,Temperate broadleaf,0.014408585122782293
Control,99,Conifers (other),0.2262246661611535
Control,99,Pioneering broadleaf,0.267024121205801
Control,99,Needleleaf evergreen,0.40050513943896
Control,100,Non-tree V.,0.09179328332092294
Control,100,Temperate broadleaf,0.014510230051291281
Control,100,Conifers (other),0.22553607530113795
Control,100,Pioneering broadleaf,0.2672617027452171
Control,100,Needleleaf evergreen,0.4008987085814303
Control,101,Non-tree V.,0.0919035852357787
Control,101,Temperate broadleaf,0.014581513385745882
Control,101,Conifers (other),0.2243314182321431
Control,101,Pioneering broadleaf,0.26761636435789177
Control,101,Needleleaf evergreen,0.401567118788442
Control,102,Non-tree V.,0.09287397698212624
Control,102,Temperate broadleaf,0.014907674297937523
Control,102,Conifers (other),0.2237776266723521
Control,102,Pioneering broadleaf,0.26785001658151675
Control,102,Needleleaf evergreen,0.40059070546606407
Control,103,Non-tree V.,0.09337229769667454
Control,103,Temperate broadleaf,0.014739628427871777
Control,103,Conifers (other),0.22315703076018628
Control,103,Pioneering broadleaf,0.26663835840166433
Control,103,Needleleaf evergreen,0.40209268471360093
Control,104,Non-tree V.,0.09329818346669262
Control,104,Temperate broadleaf,0.014855581099408485
Control,104,Conifers (other),0.22215625770341738
Control,104,Pioneering broadleaf,0.2661593608326729
Control,104,Needleleaf evergreen,0.403530616897812
Control,105,Non-tree V.,0.09266256138145725
Control,105,Temperate broadleaf,0.014741015255805096
Control,105,Conifers (other),0.2214100401976858
Control,105,Pioneering broadleaf,0.2669862993420398
Control,105,Needleleaf evergreen,0.40420008382301154
Control,106,Non-tree V.,0.09218322277939767
Control,106,Temperate broadleaf,0.014775709883750616
Control,106,Conifers (other),0.22109694912034664
Control,106,Pioneering broadleaf,0.2650841288942462
Control,106,Needleleaf evergreen,0.40685998932225714
Control,107,Non-tree V.,0.09248375586931479
Control,107,Temperate broadleaf,0.015044806492328852
Control,107,Conifers (other),0.2201018044132664
Control,107,Pioneering broadleaf,0.2663910790907631
Control,107,Needleleaf evergreen,0.40597855413432615
Control,108,Non-tree V.,0.09159361225357036
Control,108,Temperate broadleaf,0.015128212857167707
Control,108,Conifers (other),0.22033690887406918
Control,108,Pioneering broadleaf,0.2649863770521125
Control,108,Needleleaf evergreen,0.4079548889630783
Control,109,Non-tree V.,0.09162834921380347
Control,109,Temperate broadleaf,0.01545296172044751
Control,109,Conifers (other),0.21982307854268948
Control,109,Pioneering broadleaf,0.2636100714239409
Control,109,Needleleaf evergreen,0.4094855390991181
Control,110,Non-tree V.,0.09143554636016081
Control,110,Temperate broadleaf,0.015090452272932618
Control,110,Conifers (other),0.21861931958849032
Control,110,Pioneering broadleaf,0.26412046585848103
Control,110,Needleleaf evergreen,0.4107342159199363
Control,111,Non-tree V.,0.09125862159505951
Control,111,Temperate broadleaf,0.014963386452844576
Control,111,Conifers (other),0.2176168717700588
Control,111,Pioneering broadleaf,0.2631470183124312
Control,111,Needleleaf evergreen,0.4130141018696077
Control,112,Non-tree V.,0.09133624022802715
Control,112,Temperate broadleaf,0.015166244905512818
Control,112,Conifers (other),0.21636594744559576
Control,112,Pioneering broadleaf,0.26208841734703753
Control,112,Needleleaf evergreen,0.4150431500738261
Control,113,Non-tree V.,0.0912131895882271
Control,113,Temperate broadleaf,0.014457135016676538
Control,113,Conifers (other),0.21717272100653057
Control,113,Pioneering broadleaf,0.2606534324895244
Control,113,Needleleaf evergreen,0.4165035218990397
Control,114,Non-tree V.,0.09089834112756295
Control,114,Temperate broadleaf,0.014299594908256682
Control,114,Conifers (other),0.2152227463149473
Control,114,Pioneering broadleaf,0.25976688506862855
Control,114,Needleleaf evergreen,0.4198124325806032
Control,115,Non-tree V.,0.09103493764120572
Control,115,Temperate broadleaf,0.014425460872252993
Control,115,Conifers (other),0.21527206079857608
Control,115,Pioneering broadleaf,0.26024862173526286
Control,115,Needleleaf evergreen,0.4190189189527027
Control,116,Non-tree V.,0.09119413759110387
Control,116,Temperate broadleaf,0.0142861994141701
Control,116,Conifers (other),0.21420232270666428
Control,116,Pioneering broadleaf,0.2620759247722812
Control,116,Needleleaf evergreen,0.41824141551578065
Control,117,Non-tree V.,0.08684112821255487
Control,117,Temperate broadleaf,0.01491671636685312
Control,117,Conifers (other),0.21402232869250595
Control,117,Pioneering broadleaf,0.2612216499087794
Control,117,Needleleaf evergreen,0.42299817681930707
Control,118,Non-tree V.,0.08423708165047632
Control,118,Temperate broadleaf,0.014816505209858522
Control,118,Conifers (other),0.2152322036806437
Control,118,Pioneering broadleaf,0.2604919027955224
Control,118,Needleleaf evergreen,0.42522230666350025
Control,119,Non-tree V.,0.08608662788718051
Control,119,Temperate broadleaf,0.014399135284448153
