age,PFT_long,relative_mean,s
11,TeBS,0.0010376160730142475,Control
11,Tundra,0.7781760662876992,Control
11,otherC,0.09486951549223592,Control
12,BNE,0.06771577616203124,Control
12,IBS,0.06017884047107104,Control
12,TeBS,0.0012017334572417442,Control
12,Tundra,0.7524068576175483,Control
12,otherC,0.10167239691881638,Control
13,BNE,0.07560867023663946,Control
13,IBS,0.06473923366654069,Control
13,TeBS,0.0013788023988699548,Control
13,Tundra,0.7317907760950292,Control
13,otherC,0.10965812222962944,Control
14,BNE,0.08329799967457392,Control
14,IBS,0.06972690329940924,Control
14,TeBS,0.0015985635888009918,Control
14,Tundra,0.7105437708566235,Control
14,otherC,0.11800836720730112,Control
15,BNE,0.09217686306726575,Control
15,IBS,0.07447257099628524,Control
15,TeBS,0.0018167557531524755,Control
15,Tundra,0.6882255059524749,Control
15,otherC,0.1264839088575304,Control
16,BNE,0.09997266252417543,Control
16,IBS,0.07917624672660588,Control
16,TeBS,0.0020663917369860246,Control
16,Tundra,0.6680260283240929,Control
16,otherC,0.13393427531484856,Control
17,BNE,0.11419504544478803,Control
17,IBS,0.08366698305836619,Control
17,TeBS,0.0023487474953179485,Control
17,Tundra,0.6433553521980622,Control
17,otherC,0.13960947643017435,Control
18,BNE,0.12254658809926397,Control
18,IBS,0.0882155654802903,Control
18,TeBS,0.0026314445232321275,Control
18,Tundra,0.6236117595865133,Control
18,otherC,0.1461702469374091,Control
19,BNE,0.1303658822016082,Control
19,IBS,0.09272422152076681,Control
19,TeBS,0.0028981999951473198,Control
19,Tundra,0.6051368258205109,Control
19,otherC,0.15205047508867559,Control
20,BNE,0.13795475379986322,Control
20,IBS,0.09732465561352155,Control
20,TeBS,0.0031246579137855298,Control
20,Tundra,0.5874477072184416,Control
20,otherC,0.15732383008109685,Control
21,BNE,0.1456204097606313,Control
21,IBS,0.10090480366058306,Control
21,TeBS,0.0034422181884545804,Control
21,Tundra,0.5715178026449577,Control
21,otherC,0.16169037037208214,Control
22,BNE,0.15539835666958426,Control
22,IBS,0.10457938463090945,Control
22,TeBS,0.00381250523837274,Control
22,Tundra,0.5551626352615849,Control
22,otherC,0.16422272282625733,Control
23,BNE,0.16250923597649902,Control
